"ellenorzes","statusz","reszlet"
"Fő kohorsz elemszáma","OK","6 beteg"
"Betegazonosítók = a hat teljes eset","OK","P01–P06 (adatbázis-id nem kerül fájlba)"
"OHIP tartomány 0–20","OK",""
"GOHAI tartomány 12–60","OK",""
"MAI ≥ 0","OK",""
"Siker-index számítható","OK","tartomány -1,48 … 0,79"
"Szakértői prior-CSV","OK (1 szakértő, 17 sor; forrás: CSV-sablon)","VV-2026-08-19"
"Adatbázis-blokk","OK","Adatbázis: csak olvasás; TAJ-onként a legutolsó rekord; a 3-as rekord kizárva (elveszett modellanalízis-forrás)."
"Kor a hat esetnél","OK","70–88 év"
