"pred","pred_rovid","csoport","out","out_rovid","r_ns","n","P_expert_prior","P_semleges_prior","n_atbillenes_expert","n_95pct_semleges"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,500,0,0,20,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,6,0.9844,0.5624,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,8,0.9856,0.5816,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,10,0.9865,0.5984,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,12,0.9873,0.6134,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,15,0.9884,0.6331,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,20,0.9897,0.6609,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,25,0.9907,0.6841,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,30,0.9916,0.7043,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,40,0.9929,0.738,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,50,0.9938,0.7655,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,60,0.9946,0.7887,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,80,0.9958,0.8261,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,100,0.9966,0.8551,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,150,0.9979,0.905,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,200,0.9986,0.9359,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,300,0.9994,0.9695,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,500,0.9999,0.9924,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,6,0.9738,0.431,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,8,0.9715,0.4101,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,10,0.9694,0.3918,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,12,0.9673,0.3755,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,15,0.9642,0.3541,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,20,0.9593,0.3242,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,25,0.9545,0.2992,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,30,0.9497,0.2777,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,40,0.9401,0.2421,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,50,0.9302,0.2133,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,60,0.9198,0.1893,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,80,0.8976,0.1514,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,100,0.873,0.1227,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,150,0.7997,0.0752,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,200,0.71,0.0475,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,300,0.4991,0.0199,300,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,500,0.1592,0.0038,300,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,6,0.984,0.5557,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,8,0.9851,0.5728,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,10,0.9859,0.5879,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,12,0.9867,0.6013,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,15,0.9877,0.6191,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,20,0.9889,0.6442,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,25,0.9899,0.6654,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,30,0.9907,0.6839,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,40,0.992,0.715,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,50,0.993,0.7407,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,60,0.9938,0.7627,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,80,0.9949,0.7987,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,100,0.9958,0.8273,,300
