analysis_family,predictor,label,n,spearman_rho,ci_low,ci_high,permutation_p,holm_adjusted_p,loo_low,loo_high
primary,graded_score_0_5,Fokozatos mandibularis anatómiai score (0–5),33,-0.16277717695838353,-0.48530465771224457,0.18033961254681857,0.36543172841357935,,-0.2515597854752129,-0.08422797073310385
secondary_component,ridge,Gerincatrophia (A1/A12),34,-0.09217160325522415,-0.4394949915544157,0.2702887279460429,0.5996700164991751,1.0,-0.1714753052793006,-0.021774224383581904
secondary_component,torus,Torus mandibularis (A4),33,-0.07426106572325059,-0.41419632295335074,0.28087173103246577,0.6967151642417879,1.0,-0.18421131378760783,0.02046792375417865
secondary_component,lingual,Lingualis tasak (A5),34,-0.06972496815696938,-0.40304640012633136,0.27415191174471404,0.6897655117244138,1.0,-0.12645043021758093,-0.004650691615047956
secondary_component,tuberculum,Tuberculum-komplex (A6/A7/A9),34,-0.13706959126647247,-0.505828060357802,0.23640463064642658,0.43882805859707014,1.0,-0.22011524054489134,-0.0778558872209967
secondary_component,floor,Szájfenék/sublingualis tájék (A11),34,-0.05312311611064038,-0.3834554313061061,0.2887584122795168,0.7630618469076547,1.0,-0.10586375380128496,-0.008143365677021919
sensitivity,binary_count_0_5,Egész pontos anatómiai score (0–5),33,-0.2935811783423403,-0.6029484897388404,0.051435831374924176,0.10059497025148742,,-0.39467383289904534,-0.22751080072225155
