model,outcome,n,term,neutral_mean,neutral_lo,neutral_hi,neutral_p_positive,directional_mean,directional_lo,directional_hi,directional_p_positive,elicited_q
lower_expanded,QoL_worse,33,const,-0.17766047014686254,-1.0044442478564728,0.6491233075627476,0.3368191841061291,-0.720899971498122,-1.373220120934239,-0.10889045705705015,0.009217580768301634,
lower_expanded,QoL_worse,33,ridge,0.2541635573833203,-0.4793435217764995,0.9876706365431399,0.7514743062266527,0.3137889684151144,0.005589066916467284,0.8697640704548798,0.9866511152438274,0.98
lower_expanded,QoL_worse,33,tuberculum,0.10041175916947939,-0.7238856003595658,0.9247091186985245,0.5943514246884517,0.3672052612477926,0.0073167388990642585,1.0104114142164298,0.9866011862783185,0.98
lower_expanded,QoL_worse,33,floor_mouth,0.12006334734522262,-0.576444730376061,0.816571425066506,0.6322643649875935,0.27983384526223903,0.0035448612288462972,0.7995604391391944,0.9825695803178787,0.98
lower_expanded,QoL_worse,33,lingual_pouch,0.13016654822164414,-0.6088203498975018,0.8691534463407897,0.6350399276054344,0.3287722478170337,0.006110463986634491,0.8977916215009367,0.9865619735694653,0.98
lower_expanded,QoL_worse,33,mandibular_torus,-0.17151992020315787,-0.8489040128325847,0.5058641724262687,0.3098480788464584,0.17886300019557633,-0.33371964112051045,0.6196683869010887,0.9483159809049226,0.98
lower_expanded,QoL_worse,33,TMJ,-0.15734426104828003,-0.9530489116116136,0.6383603895150535,0.3491681443788348,0.2461768388702486,-0.20383819667987793,0.7884080141052617,0.9640750317405105,0.98
lower_expanded,QoL_worse,33,age_z,-0.1211742815497839,-0.5650886865962989,0.3227401234967309,0.2963225757265472,0.013190461632325226,-0.4113904484105906,0.4352217919668116,0.5255486867252853,
lower_expanded,QoL_worse,33,male,-0.09476504656123183,-0.7237620092749719,0.5342319161525081,0.38388644153105256,0.10482833748829265,-0.4825219695818863,0.7073185511439106,0.6334947291591625,
lower_expanded,QoL_worse,33,single_arch,-0.23885215584234465,-0.8584867555821052,0.3807824438974158,0.22497079773894924,-0.24811364358075355,-0.8491898942041953,0.36258764636709806,0.21013102797765362,
upper_core,QoL_worse,33,const,0.08459533379393326,-0.4903168241806477,0.6595074917685141,0.6134791444309882,-0.14992285421491924,-0.6540989131795925,0.3619607574465152,0.27583581134571766,
upper_core,QoL_worse,33,flabby,0.13109047165277188,-0.5659841902038157,0.8281651335093593,0.6437821770352266,0.2901680471461405,-0.3427082296201513,0.8952260774834546,0.8947815770352765,0.8
upper_core,QoL_worse,33,palatal_torus,-0.205036273953884,-0.7846810541618106,0.3746085062540424,0.24406282379150473,0.147618852474907,-0.3287572597289757,0.5343956627811374,0.9428600926136781,0.98
upper_core,QoL_worse,33,F8_cat2,-0.10836590776603522,-0.7997919737443593,0.5830601582122885,0.37935262390221225,-0.03453751783913304,-0.71284983448313,0.6449170421525864,0.4595756254676769,
upper_core,QoL_worse,33,F8_cat3,-0.03412450892082425,-0.8000840649187788,0.73183504707713,0.4652089832048657,-0.0399343351681933,-0.8010915161925927,0.7204104767905944,0.4581752719306801,
upper_core,QoL_worse,33,age_z,-0.10909824765758944,-0.47787591358656034,0.2596794182713814,0.28101437431488685,-0.09516717658874402,-0.46076711020478806,0.27064802216579964,0.30570452549045085,
upper_core,QoL_worse,33,male,-0.25591728936026675,-0.7851942931930114,0.2733597144724777,0.17164453832833393,-0.18874684999653848,-0.7142273202964403,0.3412942357430999,0.2400386938651568,
upper_core,QoL_worse,33,single_arch,0.07086395297317356,-0.6025878857130866,0.7443157916594337,0.5816971694738029,0.157819628612948,-0.5043934933607127,0.8153720623728687,0.6777003177495085,
lower_expanded,MAI_worse,30,const,0.5090184040234694,-0.20703887986148106,1.2250756879084197,0.9182302044387887,-0.11537696100288704,-0.6419445582843395,0.49429716653502404,0.3247459469386666,
lower_expanded,MAI_worse,30,ridge,-0.007954884697384097,-0.7549677986096927,0.7390580292149241,0.49167407669648205,0.24783805755130978,-0.059218664484852565,0.740689317854744,0.9719081101480739,0.98
lower_expanded,MAI_worse,30,tuberculum,-0.15319905356849356,-0.961696972318856,0.6552988651818688,0.35517510894217563,0.24315085612201462,-0.256167714420733,0.7709559838787485,0.9622246025558593,0.98
lower_expanded,MAI_worse,30,floor_mouth,0.003001413042642951,-0.6993110722702066,0.7053138983554923,0.503341553777446,0.16048433051590624,-0.40808781673052624,0.554874964598555,0.9401402445276319,0.98
lower_expanded,MAI_worse,30,lingual_pouch,-0.3870692746017051,-1.0741965337881516,0.30005798458474137,0.13477973148231903,0.010412554149404531,-0.9060705861796841,0.514654462110178,0.792894706125253,0.98
lower_expanded,MAI_worse,30,mandibular_torus,-0.07499808893845182,-0.8820701871389174,0.7320740092620136,0.42773961783855885,0.2787900552519187,-0.15417056444498714,0.8152039928799941,0.967857229473286,0.98
lower_expanded,MAI_worse,30,TMJ,-0.48010149789486195,-1.3578290762308223,0.3976260804410981,0.14184525817790816,0.001604112263745772,-1.218993748799238,0.6568990152026126,0.777061019617671,0.98
lower_expanded,MAI_worse,30,age_z,0.19687049700999407,-0.19513262772954618,0.5888736217495342,0.837522510578625,0.2714539237586943,-0.09429041901315809,0.6994907197352463,0.9191668260389213,
lower_expanded,MAI_worse,30,male,-0.10592104417491942,-0.7803269783665241,0.5684848900166851,0.3791063805361491,-0.11021923882226507,-0.7012194394346987,0.5188156333468102,0.3974831474282957,
lower_expanded,MAI_worse,30,single_arch,-0.1274592054365089,-0.8244410355152789,0.5695226246422609,0.3600127824475563,-0.19759322971866192,-0.8377450648965147,0.4176839884741443,0.2902820920957514,
upper_core,MAI_worse,31,const,0.03838288272911014,-0.5241912953639211,0.6009570608221413,0.5531891639891718,-0.17126134624504127,-0.6916108728638459,0.3622333943192304,0.25840780172609656,
upper_core,MAI_worse,31,flabby,0.13605432188582994,-0.47059800218781206,0.7427066459594718,0.6698729723869601,0.3217379460741085,-0.1886040622562145,0.8673231649678486,0.933678717945539,0.8
upper_core,MAI_worse,31,palatal_torus,-0.4565167382674103,-1.09472159496465,0.1816881184298294,0.08045922445920844,0.04247791619239642,-0.7885598900396503,0.47294198480948324,0.8304527182512622,0.98
upper_core,MAI_worse,31,F8_cat2,0.1485681415002474,-0.3129475077489001,0.6100837907493948,0.7359597837908203,0.0511537743404813,-0.4062316597014275,0.5162891086023418,0.5848431515932719,
upper_core,MAI_worse,31,F8_cat3,-0.15204684475808694,-1.012303080385828,0.7082093908696538,0.36451513174491706,-0.19689323888406718,-1.0679963583245295,0.6546925097195648,0.32691087341819186,
upper_core,MAI_worse,31,age_z,0.14647663742241593,-0.1858230144749531,0.4787762893197849,0.8061912047523114,0.18497038883299205,-0.14661914711169802,0.5198109250400902,0.8625904259054975,
upper_core,MAI_worse,31,male,0.24433457106769313,-0.3465851895423823,0.8352543316777685,0.7911475564329271,0.31940117000063867,-0.26769078157928083,0.904472599655964,0.8588653537093719,
upper_core,MAI_worse,31,single_arch,0.11278719416203695,-0.46879639060062817,0.694370778924702,0.6480637165646144,0.29773561341529514,-0.2713303381081228,0.8543416892240104,0.8489719023834008,
lower_expanded,chewing_worse,33,const,-0.0038257291898056616,-0.8012313085463726,0.7935798501667611,0.4962486575536409,-0.4263659375434106,-1.1331993775808666,0.25325855405614733,0.11937757860974264,
lower_expanded,chewing_worse,33,ridge,0.201683229690904,-0.5326050824068415,0.9359715417886494,0.7048265248365214,0.3486925439647027,0.014089931639545444,0.9009036035066725,0.9898155821231317,0.98
lower_expanded,chewing_worse,33,tuberculum,0.395340126042633,-0.29306566732951433,1.0837459194147803,0.8698272903140708,0.561242296162416,0.05727611736548187,1.1992565769754535,0.9982233115731078,0.98
lower_expanded,chewing_worse,33,floor_mouth,0.008259374066226965,-0.7228562729216358,0.7393750210540896,0.5088325016982738,0.25085324755260596,-0.05223613646840281,0.7686796796567386,0.9722313379515906,0.98
lower_expanded,chewing_worse,33,lingual_pouch,0.31717605845412256,-0.37673709298739677,1.0110892098956417,0.814838006474863,0.4309718455494462,0.020747670640326704,1.071651995968673,0.994702283328564,0.98
lower_expanded,chewing_worse,33,mandibular_torus,-0.6522780130281197,-1.337961725642506,0.03340569958626649,0.031127384299746607,-0.3079152790771798,-1.2711382828137199,0.33781157788918287,0.4931661578555301,0.98
lower_expanded,chewing_worse,33,TMJ,-0.3737989173118862,-1.2332611974746095,0.485663362850837,0.1969874200797877,0.12539863510168264,-0.857402616693632,0.7036442381369071,0.8868932580329008,0.98
lower_expanded,chewing_worse,33,age_z,0.06886081137008591,-0.3210512443291927,0.4587728670693645,0.6353817794248641,0.12379281890448053,-0.2690788888623999,0.5265990173741284,0.7361551568582745,
lower_expanded,chewing_worse,33,male,0.10227836054219273,-0.5062999188498006,0.710856639934186,0.6290709676960115,0.19006201074470389,-0.4431366863988779,0.7870433030913747,0.7263317939865818,
lower_expanded,chewing_worse,33,single_arch,-0.008727472326240463,-0.6690610323879561,0.6516060877354749,0.4896668032615062,-0.007407714338406266,-0.679586729273158,0.6446222610943861,0.49837573439070587,
upper_core,chewing_worse,33,const,0.07659919252324326,-0.5171876875045123,0.6703860725509987,0.5998031503840564,-0.10740885473054672,-0.6482636477803332,0.423219677102933,0.35027358927761937,
upper_core,chewing_worse,33,flabby,0.3834984659202047,-0.1985319776874505,0.9655289095278596,0.9017201940235764,0.48358305317780464,0.020888025784010854,1.0364072123703625,0.9846299981827829,0.8
upper_core,chewing_worse,33,palatal_torus,-0.21912997859805677,-0.8520646422377856,0.41380468504167195,0.248706985178967,0.16490048513608513,-0.3465609405122515,0.5859220484381862,0.9444107012394589,0.98
upper_core,chewing_worse,33,F8_cat2,-0.40882723551187866,-0.9050525190666339,0.08739804804287649,0.0531809204378495,-0.4456925937328914,-0.9390459274216877,0.047975511155064425,0.03831731131449503,
upper_core,chewing_worse,33,F8_cat3,-0.02199709971345553,-0.9716002718094193,0.927606072382508,0.48189359452442443,-0.028805004424135597,-0.979534507960896,0.9236551613342081,0.47432480991421394,
upper_core,chewing_worse,33,age_z,0.24452608016137228,-0.2087256177492321,0.6977777780719765,0.8548324271405645,0.2299573928828392,-0.22111887300706246,0.6809711993889411,0.8403461857576573,
upper_core,chewing_worse,33,male,0.17207729965087273,-0.4321075703902435,0.7762621696919887,0.7116513531309773,0.2610468916117597,-0.32909504817055457,0.8529425191706943,0.8065289634188428,
upper_core,chewing_worse,33,single_arch,0.2236527559404441,-0.4153972108429501,0.8627027227238382,0.7536252244398496,0.3391432628094444,-0.28186777131595747,0.9622155960754651,0.8555837508255422,
