"item","n","rho","p_perm_1old","p_asymp","p_holm"
"A1_Kaan",35,0.0351831197882783,0.423157684231577,0.840973213148631,1
"A5",35,-0.0400108043759692,0.592940705929407,0.819489381151604,1
"A6",35,-0.0433963036602746,0.5998400159984,0.804499216688715,1
"A7",35,-0.176536050810749,0.85051494850515,0.310359825955255,1
"A9",35,-0.172162730005729,0.846515348465154,0.322688576362787,1
"A11",35,-0.0258745427097997,0.558044195580442,0.882704961660194,1
"A12",35,-0.258427411189497,0.932806719328067,0.133887196130618,1
"A13",34,-0.329960474838763,0.971902809719028,0.0566788385836618,1
