"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","rho","n","r_ns","adat_P_pos","adat_median","adat_q05","adat_q95","prior_P_pos","post_P_pos","post_median","post_q05","post_q95","elmozdulas_prior_to_post"
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.3769,6,0.4409,0.7496,0.235,-0.373,0.753,0.585,0.7941,0.201,-0.287,0.662,0.2091
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.7715,6,0.8049,0.9355,0.541,-0.055,0.909,0.585,0.9338,0.413,-0.071,0.877,0.3488
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",-0.3769,6,-0.4048,0.2694,-0.213,-0.739,0.393,0.585,0.3733,-0.129,-0.666,0.36,-0.2117
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.169,6,-0.2538,0.3541,-0.129,-0.679,0.469,0.585,0.46,-0.048,-0.591,0.407,-0.125
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",0.9429,6,0.9633,0.9946,0.837,0.445,0.98,0.585,0.9923,0.824,0.29,0.979,0.4073
"F2","F2 · felső alámenősség térfogata (mm³)","F2 alámenősség (nyers)","Nincs tankönyvi irány",FALSE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.1471,6,-0.0861,0.4499,-0.043,-0.613,0.543,0.585,0.5503,0.043,-0.512,0.458,-0.0347
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.7143,6,0.6703,0.8711,0.401,-0.211,0.849,0.5,0.8716,0.401,-0.211,0.849,0.3716
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.6,6,0.6208,0.8458,0.359,-0.253,0.828,0.5,0.8463,0.36,-0.253,0.828,0.3463
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",0.7714,6,0.8377,0.9499,0.585,0,0.924,0.5,0.9501,0.585,0.001,0.924,0.4501
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.3769,6,0.4409,0.7496,0.235,-0.373,0.753,0.5,0.7502,0.235,-0.373,0.753,0.2502
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.7715,6,0.8049,0.9355,0.541,-0.055,0.909,0.5,0.9358,0.541,-0.055,0.909,0.4358
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",-0.3769,6,-0.4048,0.2694,-0.213,-0.739,0.393,0.5,0.2697,-0.214,-0.739,0.394,-0.2303
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.169,6,-0.2538,0.3541,-0.129,-0.679,0.469,0.5,0.3545,-0.129,-0.679,0.469,-0.1455
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",0.9429,6,0.9633,0.9946,0.837,0.445,0.98,0.5,0.9946,0.837,0.445,0.98,0.4946
"F2s","F2/L³ · méretstandardizált alámenősség","F2/L³ (nyers)","Nincs tankönyvi irány",FALSE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.1471,6,-0.0861,0.4499,-0.043,-0.613,0.543,0.5,0.4504,-0.043,-0.614,0.543,-0.0496
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.8857,6,0.8592,0.9589,0.618,0.043,0.934,0.7817,0.973,0.317,0.073,0.8,0.1913
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.6,6,0.6036,0.8369,0.346,-0.267,0.82,0.7817,0.9367,0.253,-0.094,0.549,0.155
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",0.4286,6,0.4738,0.7676,0.256,-0.354,0.767,0.7817,0.9143,0.236,-0.175,0.497,0.1326
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.4058,6,0.4317,0.7445,0.229,-0.378,0.75,0.7817,0.9061,0.231,-0.194,0.485,0.1245
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.4629,6,0.4989,0.7812,0.272,-0.339,0.777,0.7817,0.9189,0.239,-0.163,0.506,0.1372
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.4638,6,0.381,0.7164,0.199,-0.406,0.729,0.7817,0.8957,0.225,-0.214,0.471,0.1141
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",0.5409,6,0.4947,0.7789,0.269,-0.341,0.775,0.7817,0.9181,0.238,-0.165,0.504,0.1364
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",0.3714,6,0.4413,0.7498,0.235,-0.373,0.753,0.7817,0.908,0.232,-0.19,0.487,0.1264
"F3","F3 · szájpadboltozat-magasság (mm)","F3 boltozat ↓","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.0588,6,-0.0363,0.4786,-0.018,-0.593,0.564,0.7817,0.7779,0.173,-0.331,0.401,-0.0038
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.3143,6,0.3966,0.7251,0.208,-0.398,0.736,0.6413,0.807,0.183,-0.277,0.509,0.1657
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.6,6,0.6208,0.8458,0.359,-0.253,0.828,0.6413,0.8783,0.238,-0.198,0.624,0.237
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",0.0857,6,0.1987,0.6135,0.1,-0.494,0.658,0.6413,0.7345,0.143,-0.332,0.456,0.0931
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.8117,6,0.7903,0.9289,0.523,-0.077,0.902,0.6413,0.9273,0.306,-0.098,0.784,0.286
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.4629,6,0.4989,0.7812,0.272,-0.339,0.777,0.6413,0.8408,0.206,-0.244,0.55,0.1995
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.4638,6,0.4216,0.7389,0.223,-0.384,0.746,0.6413,0.8155,0.189,-0.269,0.517,0.1742
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",0.5409,6,0.4947,0.7789,0.269,-0.341,0.775,0.6413,0.8395,0.205,-0.246,0.548,0.1981
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.0857,6,0.0282,0.5157,0.014,-0.567,0.59,0.6413,0.6635,0.106,-0.379,0.422,0.0221
"F4","F4 · felső gerincalak szöge (°)","F4 gerincalak-szög ↓","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",0.8827,6,0.8948,0.9729,0.678,0.131,0.95,0.6413,0.9595,0.416,0.031,0.907,0.3182
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.207,6,0.2794,0.6593,0.143,-0.457,0.689,0.882,0.941,0.352,-0.078,0.702,0.059
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.6211,6,0.6283,0.8497,0.365,-0.247,0.831,0.882,0.9817,0.445,0.113,0.759,0.0997
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",0.207,6,0.2794,0.6593,0.143,-0.457,0.689,0.882,0.941,0.352,-0.078,0.702,0.059
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.8402,6,0.8192,0.9419,0.56,-0.032,0.915,0.882,0.9937,0.555,0.206,0.819,0.1117
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.6708,6,0.6857,0.8788,0.414,-0.197,0.856,0.882,0.9859,0.471,0.136,0.773,0.1039
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0,6,0,0.4994,0,-0.579,0.579,0.882,0.8792,0.299,-0.339,0.668,-0.0028
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",0.1225,6,0.0651,0.5369,0.032,-0.552,0.605,0.882,0.8969,0.312,-0.291,0.676,0.0149
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",0.207,6,0.2794,0.6593,0.143,-0.457,0.689,0.882,0.941,0.352,-0.078,0.702,0.059
"F5","F5 · lötyögő, csontmag nélküli gerinc","F5 lötyögő gerinc","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",0.8528,6,0.8313,0.9471,0.576,-0.012,0.921,0.882,0.9942,0.564,0.214,0.825,0.1122
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",-0.0857,6,-0.0588,0.4656,-0.029,-0.602,0.555,0.6933,0.6827,0.091,-0.395,0.406,-0.0106
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.2,6,0.1717,0.598,0.086,-0.506,0.647,0.6933,0.7673,0.132,-0.304,0.463,0.074
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",0.4857,6,0.4908,0.7768,0.267,-0.344,0.774,0.6933,0.8621,0.194,-0.192,0.586,0.1688
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.058,6,0.02,0.5109,0.01,-0.571,0.587,0.6933,0.7135,0.106,-0.362,0.424,0.0202
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.0926,6,0.1352,0.5772,0.068,-0.522,0.633,0.6933,0.755,0.126,-0.317,0.453,0.0617
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",-0.2319,6,-0.305,0.3252,-0.157,-0.699,0.445,0.6933,0.571,0.04,-0.517,0.357,-0.1224
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.6761,6,-0.7098,0.1088,-0.437,-0.866,0.173,0.6933,0.3057,-0.216,-0.791,0.266,-0.3876
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",0.0857,6,0.1815,0.6037,0.091,-0.502,0.651,0.6933,0.7706,0.134,-0.3,0.466,0.0773
"F6","F6 · interalveoláris szög eltérése 90°-tól","F6 |szög−90°| ↑","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",0,6,0,0.4994,0,-0.579,0.579,0.6933,0.7059,0.102,-0.37,0.419,0.0126
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0,6,0,0.4994,0,-0.579,0.579,0.5233,0.5257,0.023,-0.406,0.412,0.0023
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",-0.414,6,-0.3489,0.3005,-0.181,-0.717,0.423,0.5233,0.3589,-0.114,-0.525,0.329,-0.1644
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.6211,6,-0.6283,0.1497,-0.365,-0.831,0.247,0.5233,0.2208,-0.218,-0.695,0.248,-0.3026
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",-0.4201,6,-0.3474,0.3014,-0.18,-0.716,0.424,0.5233,0.3597,-0.114,-0.525,0.329,-0.1636
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",-0.3354,6,-0.3429,0.3039,-0.178,-0.714,0.426,0.5233,0.3619,-0.112,-0.523,0.33,-0.1614
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.21,6,0.282,0.6608,0.144,-0.456,0.69,0.5233,0.656,0.107,-0.335,0.495,0.1326
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",0.3674,6,0.4141,0.7348,0.219,-0.388,0.743,0.5233,0.7155,0.144,-0.301,0.552,0.1922
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.207,6,-0.2794,0.3396,-0.143,-0.689,0.457,0.5233,0.3926,-0.091,-0.496,0.346,-0.1307
"F7","F7 · torus palatinus","F7 torus palatinus","Felső állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.533,6,-0.5647,0.1829,-0.317,-0.804,0.295,0.5233,0.2529,-0.191,-0.649,0.27,-0.2705
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",-0.3928,6,-0.3364,0.3075,-0.174,-0.712,0.429,0.5267,0.3664,-0.097,-0.641,0.349,-0.1603
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.1309,6,0.105,0.5598,0.052,-0.535,0.621,0.5267,0.5799,0.057,-0.441,0.532,0.0532
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.3928,6,-0.3364,0.3075,-0.174,-0.712,0.429,0.5267,0.3664,-0.097,-0.641,0.349,-0.1603
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.3985,6,0.339,0.6929,0.175,-0.428,0.713,0.5267,0.6881,0.122,-0.338,0.637,0.1615
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.1414,6,0.1092,0.5622,0.054,-0.533,0.622,0.5267,0.5818,0.058,-0.439,0.534,0.0552
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0,6,0,0.4994,0,-0.579,0.579,0.5267,0.5306,0.024,-0.487,0.487,0.0039
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.3098,6,-0.3031,0.3262,-0.155,-0.699,0.446,0.5267,0.3832,-0.086,-0.625,0.363,-0.1434
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.3928,6,-0.3364,0.3075,-0.174,-0.712,0.429,0.5267,0.3664,-0.097,-0.641,0.349,-0.1603
"F8","F8 · antagonista fogazat (1→3)","F8 antagonista (nyers)","Nincs tankönyvi irány",FALSE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",0.5394,6,0.5257,0.7957,0.29,-0.321,0.788,0.5267,0.7747,0.185,-0.255,0.731,0.248
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.4638,6,0.61,0.8402,0.351,-0.262,0.823,0.8043,0.9499,0.325,-0.001,0.719,0.1456
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.6377,6,0.7349,0.9029,0.462,-0.146,0.877,0.8043,0.9685,0.39,0.041,0.768,0.1642
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.029,6,0.0801,0.5455,0.04,-0.546,0.611,0.8043,0.8294,0.192,-0.311,0.573,0.0251
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.8235,6,0.8776,0.9663,0.648,0.085,0.942,0.8043,0.9868,0.531,0.121,0.85,0.1825
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.7045,6,0.7548,0.9125,0.483,-0.123,0.886,0.8043,0.9713,0.403,0.048,0.777,0.1669
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.2353,6,0.3078,0.6754,0.158,-0.443,0.701,0.8043,0.8911,0.239,-0.215,0.629,0.0868
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",0.4287,6,0.3995,0.7267,0.21,-0.396,0.737,0.8043,0.9114,0.26,-0.168,0.654,0.107
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",0.2029,6,0.2738,0.6562,0.14,-0.46,0.687,0.8043,0.883,0.232,-0.231,0.621,0.0787
"TUB","A6–A9 · tuberculum-konstruktum (0–1)","A6–A9 tuberculum ↑","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",0.612,6,0.546,0.8065,0.304,-0.308,0.796,0.8043,0.9392,0.301,-0.067,0.698,0.1349
