"pred","pred_cimke","pred_rovid","csoport","irany_van","out","out_cimke","blokk","out_rovid","rho","n","r_ns","adat_P_pos","adat_median","adat_q05","adat_q95","prior_P_pos","post_P_pos","post_median","post_q05","post_q95","elmozdulas_prior_to_post"
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.0617,6,0.0978,0.5557,0.049,-0.538,0.618,0.853,0.8786,0.322,-0.34,0.659,0.0256
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.216,6,0.2088,0.6192,0.105,-0.49,0.662,0.853,0.9086,0.358,-0.234,0.67,0.0556
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.4938,6,-0.4393,0.2504,-0.234,-0.753,0.374,0.853,0.6029,0.118,-0.609,0.595,-0.2501
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.2035,6,0.1658,0.5947,0.083,-0.509,0.645,0.853,0.8977,0.345,-0.276,0.666,0.0447
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",-0.1167,6,-0.1219,0.4294,-0.061,-0.627,0.528,0.853,0.7972,0.245,-0.476,0.638,-0.0558
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.7671,6,0.7024,0.8871,0.43,-0.181,0.863,0.853,0.9838,0.505,0.131,0.737,0.1308
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.0183,6,-0.0214,0.4871,-0.011,-0.587,0.57,0.853,0.8386,0.281,-0.424,0.648,-0.0144
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.7407,6,-0.646,0.1407,-0.38,-0.838,0.233,0.853,0.4089,-0.221,-0.699,0.543,-0.4441
"A11","A11 · szublingvális tájék / szájfenék","A11 szájfenék ↑","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.0636,6,-0.0589,0.4655,-0.029,-0.602,0.555,0.853,0.8241,0.268,-0.445,0.644,-0.0289
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.0976,6,0.0782,0.5444,0.039,-0.547,0.61,0.69,0.733,0.124,-0.347,0.422,0.043
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.2928,6,0.2507,0.6431,0.127,-0.471,0.678,0.69,0.793,0.153,-0.292,0.457,0.103
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.2928,6,-0.2507,0.3558,-0.127,-0.678,0.471,0.69,0.5902,0.06,-0.46,0.367,-0.0998
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.198,6,0.1667,0.5952,0.084,-0.509,0.645,0.69,0.7649,0.139,-0.319,0.439,0.0749
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.3162,6,0.2441,0.6393,0.124,-0.474,0.675,0.69,0.7909,0.152,-0.295,0.455,0.1009
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0,6,0,0.4994,0,-0.579,0.579,0.69,0.7027,0.111,-0.372,0.409,0.0127
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.6928,6,-0.6778,0.1246,-0.407,-0.852,0.204,0.69,0.3252,-0.204,-0.731,0.279,-0.3648
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.0976,6,-0.0782,0.4544,-0.039,-0.61,0.547,0.69,0.6703,0.096,-0.398,0.395,-0.0197
"A12","A12 · spinae mentales","A12 spinae mentales","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.402,6,-0.4081,0.2676,-0.215,-0.74,0.392,0.69,0.5055,0.006,-0.534,0.34,-0.1845
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0.2571,6,0.3206,0.6826,0.165,-0.437,0.706,0.926,0.9718,0.386,0.073,0.687,0.0458
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",0.4286,6,0.4462,0.7525,0.238,-0.37,0.755,0.926,0.9814,0.408,0.106,0.701,0.0554
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.4286,6,-0.3696,0.289,-0.193,-0.725,0.412,0.926,0.802,0.263,-0.555,0.618,-0.124
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_OHIP","OHIP-5 az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","OHIP-5",0.3479,6,0.3626,0.7062,0.189,-0.416,0.722,0.926,0.9754,0.393,0.084,0.691,0.0494
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"s_RAGAS","Önbevallott rágóképesség a fogsorral","Állapot az új fogsorral","Önbev. rágás",0.2777,6,0.2498,0.6426,0.127,-0.471,0.678,0.926,0.9649,0.374,0.051,0.68,0.0389
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"v_GOHAI","GOHAI-javulás","Változás (kiindulás → utánkövetés)","ΔGOHAI",0.4638,6,0.5048,0.7844,0.276,-0.335,0.779,0.926,0.9849,0.42,0.12,0.708,0.0589
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"v_GRC","Megélt rágásváltozás (GRC)","Változás (kiindulás → utánkövetés)","GRC",-0.3719,6,-0.2919,0.3325,-0.149,-0.694,0.451,0.926,0.84,0.283,-0.505,0.627,-0.086
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"v_MAI","MAI-javulás","Változás (kiindulás → utánkövetés)","ΔMAI",-0.3714,6,-0.3186,0.3175,-0.164,-0.705,0.438,0.926,0.8279,0.277,-0.523,0.624,-0.0981
"A2","A2 · alsó gerincmagasság, modellanalízis (mm)","A2 gerincmagasság ↓","Alsó állcsont",TRUE,"v_OHIP","OHIP-5-javulás","Változás (kiindulás → utánkövetés)","ΔOHIP-5",-0.2942,6,-0.2707,0.3445,-0.138,-0.686,0.461,0.926,0.849,0.288,-0.49,0.63,-0.077
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_GOHAI","GOHAI az utánkövetéskor (↑ jobb)","Állapot az új fogsorral","GOHAI",0,6,0,0.4994,0,-0.579,0.579,0.4867,0.484,-0.011,-0.397,0.403,-0.0027
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_INDEX","Siker-index (4 kimenet z-átlaga)","Állapot az új fogsorral","Siker-index",-0.414,6,-0.3489,0.3005,-0.181,-0.717,0.423,0.4867,0.3383,-0.091,-0.56,0.3,-0.1484
"A3","A3 · buccinator tasak (beszűkülő vs. egyéb)","A3 buccinator (nyers)","Nincs tankönyvi irány",FALSE,"s_MAI","MAI az utánkövetéskor (↓ jobb)","Állapot az új fogsorral","MAI",-0.6211,6,-0.6283,0.1497,-0.365,-0.831,0.247,0.4867,0.2149,-0.18,-0.736,0.216,-0.2718
