"pred","pred_rovid","csoport","out","out_rovid","r_ns","n","P_expert_prior","P_semleges_prior","n_atbillenes_expert","n_95pct_semleges"
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_MAI","MAI",-0.5647,500,0,0,8,12
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,6,0.9471,0.5624,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,8,0.9528,0.5816,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,10,0.9574,0.5984,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,12,0.9612,0.6134,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,15,0.9657,0.6331,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,20,0.971,0.6609,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,25,0.9748,0.6841,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,30,0.9776,0.7043,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,40,0.9814,0.738,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,50,0.9841,0.7655,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,60,0.9861,0.7887,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,80,0.989,0.8261,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,100,0.9911,0.8551,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,150,0.9944,0.905,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,200,0.9963,0.9359,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,300,0.9983,0.9695,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_OHIP","OHIP-5",0.1095,500,0.9996,0.9924,,300
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,6,0.9002,0.431,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,8,0.8894,0.4101,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,10,0.8782,0.3918,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,12,0.867,0.3755,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,15,0.8499,0.3541,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,20,0.8213,0.3242,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,25,0.7928,0.2992,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,30,0.7648,0.2777,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,40,0.7106,0.2421,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,50,0.6592,0.2133,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,60,0.6108,0.1893,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,80,0.5224,0.1514,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,100,0.4449,0.1227,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,150,0.2935,0.0752,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,200,0.1915,0.0475,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,300,0.081,0.0199,100,200
"A1","A1 Kaán-gerincforma ↑","Alsó állcsont","s_RAGAS","Önbev. rágás",-0.119,500,0.0151,0.0038,100,200
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,6,0.8786,0.5557,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,8,0.8859,0.5728,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,10,0.8921,0.5879,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,12,0.8973,0.6013,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,15,0.904,0.6191,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,20,0.9128,0.6442,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,25,0.9197,0.6654,,300
"A11","A11 szájfenék ↑","Alsó állcsont","s_GOHAI","GOHAI",0.0978,30,0.9256,0.6839,,300
